roi_id,f_mean,f_std,f_max,f_min,fneu_mean,fneu_max,alpha,f_range,f_snr,fneu_f_ratio,high_alpha,low_snr,fneu_exceeds_f,extreme_range,fc_mean,fc_min,fc_negative_pct,fc_negative,high_fc_negative,dff_max,dff_min,dff_std,dff_explosion,dff_implosion,high_dff_noise,exclude,caution,good_quality
0,590.14105,281.91495,3104.392,194.32451,300.99368,718.67126,0.3,2910.0676,2.0933301,0.5100368,False,False,False,True,499.84293,94.57544,0.0,False,False,5.700062,-0.5368815,0.5923663,False,False,False,False,False,-2
1,300.15137,43.503693,1090.2262,155.64679,276.8717,654.4972,0.3,934.5794,6.8994455,0.92244023,False,False,True,True,217.08987,82.714554,0.0,False,False,2.7930713,-0.5364514,0.21018514,False,False,False,False,False,-2
2,114.208015,36.59231,425.90512,16.85573,66.08202,244.31882,0.3,409.04938,3.1210933,0.5786111,False,False,False,True,94.3834,-8.716927,0.005014994834555321,True,False,6.664697,-1.1862419,0.57574856,False,False,False,False,False,-2
3,65.88603,9.4331875,139.54901,38.088722,122.11001,244.35187,0.3,101.46029,6.984493,1.853352,False,False,True,False,29.253029,-7.6768036,0.05115294731246427,True,False,7.6964035,-1.651051,0.6477291,False,False,False,False,False,-2
4,175.9703,50.57591,470.3506,33.202717,95.67353,362.81406,0.3,437.14786,3.4793305,0.54369134,False,False,False,False,147.26825,6.3038406,0.0,False,False,3.4851882,-0.9471744,0.48958176,False,False,False,False,False,-2
5,794.57086,270.47165,2317.1887,286.55438,454.6808,915.51526,0.31862617,2030.6343,2.9377234,0.5722344,False,False,False,False,649.6976,133.49998,0.0,False,False,2.2408729,-0.61154175,0.33772326,False,False,False,False,False,-2
6,636.50684,176.67715,2895.6133,340.15182,384.34576,1380.5123,0.3,2555.4614,3.602655,0.60383606,False,False,False,True,521.20325,219.01866,0.0,False,False,2.7509346,-0.3976179,0.22308709,False,False,False,False,False,-2
7,602.6174,265.34882,1693.7191,181.12186,228.31882,520.00354,0.3,1512.5973,2.2710385,0.3788786,False,False,False,False,534.1217,130.47194,0.0,False,False,3.9030585,-0.63977015,0.5137132,False,False,False,False,False,-2
8,324.60715,64.51987,1095.8894,160.30103,387.49445,1316.0111,0.3,935.5884,5.0311193,1.1937336,False,False,True,False,208.35881,27.366272,0.0,False,False,4.0436435,-0.7793379,0.31147626,False,False,False,False,False,-2
9,559.2087,169.5704,2167.151,227.0771,302.74207,1113.7668,0.3,1940.0737,3.2977965,0.5413758,False,False,False,True,468.38608,132.24582,0.0,False,False,3.5007222,-0.502553,0.3374861,False,False,False,False,False,-2
10,144.1557,29.398481,389.215,51.333782,108.34115,187.61246,0.3,337.88123,4.903508,0.75155646,False,False,False,False,111.653366,12.395195,0.0,False,False,2.5026832,-0.82414883,0.32564795,False,False,False,False,False,-2
