roi_id,n_roles,roles,is_multi_role,primary_role,broad_flag
0,31,start_flash_2:0;end_flash_2:0;end_flash_2:1;choice_start:2;choice_start:3;choice_start:4;choice_start:6;lick_start:0;start_flash_2:comp0_pos;end_flash_2:comp0_pos;end_flash_2:comp1_pos;end_flash_2:comp2_pos;end_flash_2:comp3_pos;end_flash_2:comp4_pos;choice_start:comp0_pos;choice_start:comp1_pos;choice_start:comp2_pos;choice_start:comp3_pos;choice_start:comp4_pos;choice_start:comp5_pos;choice_start:comp6_pos;lick_start:comp0_pos;lick_start:comp1_pos;lick_start:comp2_pos;isi_phase:comp0_pos;isi_phase:comp2_pos;isi_phase:comp3_pos;isi_phase:comp4_pos;isi_phase:comp5_pos;isi_phase:comp6_pos;isi_phase:comp7_pos,True,lick_start:0,False
1,2,choice_start:1;lick_start:2,True,lick_start:2,False
2,19,start_flash_2:0;end_flash_2:0;end_flash_2:1;choice_start:3;choice_start:4;choice_start:6;lick_start:0;end_flash_2:comp0_pos;end_flash_2:comp1_pos;end_flash_2:comp2_pos;end_flash_2:comp3_pos;end_flash_2:comp4_pos;choice_start:comp0_pos;choice_start:comp1_pos;choice_start:comp4_pos;choice_start:comp5_pos;choice_start:comp6_pos;lick_start:comp0_pos;lick_start:comp2_pos,True,lick_start:0,False
3,41,start_flash_1:1;end_flash_1:0;end_flash_1:2;start_flash_2:0;end_flash_2:0;end_flash_2:1;choice_start:2;choice_start:3;choice_start:4;choice_start:6;lick_start:0;isi:comp0_pos;start_flash_1:comp0_pos;start_flash_1:comp1_pos;end_flash_1:comp0_pos;end_flash_1:comp1_pos;end_flash_1:comp2_pos;start_flash_2:comp0_pos;end_flash_2:comp0_pos;end_flash_2:comp1_pos;end_flash_2:comp2_pos;end_flash_2:comp3_pos;end_flash_2:comp4_pos;choice_start:comp0_pos;choice_start:comp1_pos;choice_start:comp2_pos;choice_start:comp3_pos;choice_start:comp4_pos;choice_start:comp5_pos;choice_start:comp6_pos;lick_start:comp0_pos;lick_start:comp1_pos;lick_start:comp2_pos;isi_phase:comp0_pos;isi_phase:comp1_pos;isi_phase:comp2_pos;isi_phase:comp3_pos;isi_phase:comp4_pos;isi_phase:comp5_pos;isi_phase:comp6_pos;isi_phase:comp7_pos,True,lick_start:0,False
4,29,start_flash_2:0;end_flash_2:0;end_flash_2:1;choice_start:2;choice_start:3;choice_start:4;choice_start:6;lick_start:0;start_flash_2:comp0_pos;end_flash_2:comp0_pos;end_flash_2:comp1_pos;end_flash_2:comp2_pos;end_flash_2:comp3_pos;choice_start:comp0_pos;choice_start:comp1_pos;choice_start:comp2_pos;choice_start:comp3_pos;choice_start:comp4_pos;choice_start:comp5_pos;choice_start:comp6_pos;lick_start:comp0_pos;lick_start:comp2_pos;isi_phase:comp0_pos;isi_phase:comp2_pos;isi_phase:comp3_pos;isi_phase:comp4_pos;isi_phase:comp5_pos;isi_phase:comp6_pos;isi_phase:comp7_pos,True,lick_start:0,False
5,39,end_flash_1:0;end_flash_1:2;start_flash_2:0;end_flash_2:0;end_flash_2:1;choice_start:2;choice_start:3;choice_start:4;choice_start:6;lick_start:0;isi:comp0_pos;start_flash_1:comp1_pos;end_flash_1:comp0_pos;end_flash_1:comp1_pos;end_flash_1:comp2_pos;start_flash_2:comp0_pos;end_flash_2:comp0_pos;end_flash_2:comp1_pos;end_flash_2:comp2_pos;end_flash_2:comp3_pos;end_flash_2:comp4_pos;choice_start:comp0_pos;choice_start:comp1_pos;choice_start:comp2_pos;choice_start:comp3_pos;choice_start:comp4_pos;choice_start:comp5_pos;choice_start:comp6_pos;lick_start:comp0_pos;lick_start:comp1_pos;lick_start:comp2_pos;isi_phase:comp0_pos;isi_phase:comp1_pos;isi_phase:comp2_pos;isi_phase:comp3_pos;isi_phase:comp4_pos;isi_phase:comp5_pos;isi_phase:comp6_pos;isi_phase:comp7_pos,True,lick_start:0,False
6,4,start_flash_1:0;start_flash_2:0;choice_start:4;lick_start:0,True,lick_start:0,False
7,28,start_flash_2:0;end_flash_2:0;end_flash_2:1;choice_start:3;choice_start:4;choice_start:6;lick_start:0;start_flash_2:comp0_pos;end_flash_2:comp0_pos;end_flash_2:comp1_pos;end_flash_2:comp2_pos;end_flash_2:comp3_pos;end_flash_2:comp4_pos;choice_start:comp0_pos;choice_start:comp1_pos;choice_start:comp3_pos;choice_start:comp4_pos;choice_start:comp5_pos;choice_start:comp6_pos;lick_start:comp0_pos;lick_start:comp1_pos;lick_start:comp2_pos;isi_phase:comp0_pos;isi_phase:comp2_pos;isi_phase:comp3_pos;isi_phase:comp4_pos;isi_phase:comp5_pos;isi_phase:comp7_pos,True,lick_start:0,False
8,7,end_flash_2:4;choice_start:1;choice_start:5;lick_start:1;lick_start:2;lick_start:comp0_neg;lick_start:comp2_neg,True,lick_start:2,False
9,7,choice_start:4;choice_start:6;lick_start:0;choice_start:comp6_pos;lick_start:comp0_pos;lick_start:comp1_pos;lick_start:comp2_pos,True,lick_start:0,False
